date,p_crash
2025-08-18,2.6007646686291343e-10
2025-08-19,5.585118272313228e-06
2025-08-20,0.0001672393757773498
2025-08-21,0.000946740372119006
2025-08-22,0.0027305786136556185
2025-08-25,0.0055998382713223875
2025-08-26,0.009430782101048571
2025-08-27,0.014024794072164348
2025-08-28,0.019180943328059155
2025-08-29,0.024724963459564268
2025-09-01,0.03051624041780021
2025-09-02,0.03644570884136781
2025-09-03,0.04243082409737665
2025-09-04,0.04841021228397405
2025-09-05,0.05433894441739617
2025-09-08,0.060184671828994674
2025-09-09,0.06592458373444407
2025-09-10,0.07154305958802949
2025-09-11,0.0770298767997892
2025-09-12,0.08237884990687427
2025-09-15,0.08758679992022517
2025-09-16,0.09265277439156522
2025-09-17,0.09757745720142336
2025-09-18,0.10236272177214223
2025-09-19,0.10701129276786847
2025-09-22,0.11152648997276898
2025-09-23,0.11591203453746957
2025-09-24,0.12017190265779182
2025-09-25,0.12431021540085774
2025-09-26,0.12833115613000395
